Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2013,13W,AAAS,7.0,1,16,11.0
2014,14S,AAAS,7.0,1,16,12.0
2012,12S,AAAS,10.0,1,19,9.0
2013,13W,AAAS,10.0,1,10,11.5
2014,14F,AAAS,10.0,1,13,11.0
2015,15F,AAAS,10.0,1,20,11.0
2016,16F,AAAS,10.0,1,25,11.0
2018,18W,AAAS,10.0,1,12,11.0
2020,20W,AAAS,10.0,1,11,12.0
2011,11W,AAAS,11.0,1,13,10.0
2014,14W,AAAS,11.0,1,11,11.0
2015,15F,AAAS,11.0,1,12,10.0
2017,17X,AAAS,11.0,1,15,11.0
2017,17F,AAAS,11.0,1,13,12.0
2019,19S,AAAS,11.0,1,27,11.0
2019,19F,AAAS,11.0,1,41,12.0
2013,13X,AAAS,12.0,1,18,12.0
2015,15S,AAAS,12.0,1,11,10.0
2015,15F,AAAS,12.0,1,14,10.0
2017,17S,AAAS,12.0,1,16,11.5
2017,17X,AAAS,12.0,1,16,10.0
2018,18F,AAAS,12.0,1,34,9.5
2019,19F,AAAS,12.0,1,18,10.0
2012,12W,AAAS,13.0,1,15,10.0
2014,14S,AAAS,13.0,1,16,10.0
2014,14F,AAAS,13.0,1,12,9.0
2016,16W,AAAS,13.0,1,19,9.0
2017,17S,AAAS,13.0,1,17,9.0
2017,17F,AAAS,13.0,1,13,9.0
2011,11W,AAAS,14.0,1,15,11.0
2011,11F,AAAS,14.0,1,28,10.0
2014,14X,AAAS,14.0,1,18,10.0
2015,15S,AAAS,14.0,1,17,10.0
2016,16X,AAAS,14.0,1,18,11.0
2019,19W,AAAS,14.0,1,17,11.0
2020,20W,AAAS,14.0,1,24,10.5
2012,12S,AAAS,15.0,1,12,11.0
2013,13S,AAAS,15.0,1,14,12.0
2014,14S,AAAS,15.0,1,21,11.0
2015,15S,AAAS,15.0,1,18,10.5
2017,17X,AAAS,15.0,1,10,11.0
2019,19S,AAAS,15.0,1,18,11.0
2011,11W,AAAS,16.0,1,16,10.5
2017,17W,AAAS,16.0,1,16,12.0
2018,18X,AAAS,16.0,1,46,12.0
2011,11S,AAAS,19.0,1,39,10.0
2012,12F,AAAS,19.0,1,26,10.0
2014,14F,AAAS,19.0,1,14,11.0
2015,15F,AAAS,19.0,1,17,10.0
2019,19W,AAAS,19.0,1,16,12.0
2019,19F,AAAS,19.0,1,22,12.0
2018,18X,AAAS,20.0,1,14,12.0
2019,19X,AAAS,20.0,1,13,12.0
2018,18X,AAAS,21.0,1,27,11.0
2018,18W,AAAS,22.0,1,25,11.0
2019,19W,AAAS,22.0,1,14,11.0
2020,20W,AAAS,22.0,1,14,12.0
2015,15S,AAAS,23.0,1,30,10.0
2016,16W,AAAS,23.0,1,30,10.0
2017,17S,AAAS,23.0,1,29,9.0
2019,19W,AAAS,23.0,1,13,9.0
2011,11W,AAAS,24.0,1,12,10.0
2014,14W,AAAS,24.0,1,33,10.0
2017,17F,AAAS,24.0,1,14,11.0
2020,20W,AAAS,24.0,1,31,12.0
2011,11W,AAAS,25.0,1,36,10.0
2012,12W,AAAS,25.0,1,20,10.0
2013,13W,AAAS,25.0,1,24,9.5
2015,15S,AAAS,25.0,1,12,10.0
2016,16S,AAAS,25.0,1,25,10.0
2018,18W,AAAS,25.0,1,21,10.0
2019,19S,AAAS,25.0,1,16,10.5
2012,12W,AAAS,26.0,1,14,11.0
2012,12X,AAAS,26.0,1,14,10.0
2016,16F,AAAS,26.0,1,19,12.0
2018,18W,AAAS,26.0,1,18,11.0
2019,19X,AAAS,27.0,1,15,11.0
2012,12W,AAAS,31.0,1,10,12.0
2016,16S,AAAS,31.0,1,14,11.0
2017,17S,AAAS,31.0,1,21,12.0
