Year,Department,Number of Sections,Enrollments,Mean Points
2011,COSC,29,727,10.93103448275862
2012,COSC,30,980,10.483333333333333
2013,COSC,39,1377,10.833333333333336
2014,COSC,57,1905,10.627358490566039
2015,COSC,58,2230,10.703703703703702
2016,COSC,63,2229,10.696721311475411
2017,COSC,43,1920,10.702380952380953
2018,COSC,51,2076,10.786458333333336
2019,COSC,57,2249,11.054545454545458
2011,MATH,63,3283,10.083333333333334
2012,MATH,65,3678,10.597826086956523
2013,MATH,59,3545,10.575
2014,MATH,67,4106,10.261363636363637
2015,MATH,70,4234,10.066666666666666
2016,MATH,77,4682,10.180851063829786
2017,MATH,70,4689,10.402439024390244
2018,MATH,76,4520,10.532608695652174
2019,MATH,74,4873,10.744186046511626
2011,WRIT,64,1066,10.985544217687075
2012,WRIT,71,1124,11.177061973114602
2013,WRIT,80,1235,11.302026677026678
2014,WRIT,83,1273,11.10558712121212
2015,WRIT,85,1308,11.330769230769231
2016,WRIT,86,1360,11.005447521055142
2017,WRIT,81,1242,11.511989379084964
2018,WRIT,90,1405,11.526481481481486
2019,WRIT,87,1362,11.553682428682427
