Term,Department,Number of Sections,Enrollments,Mean Points
11W,AAAS,8,138,10.5625
11S,AAAS,8,183,10.75
11X,AAAS,2,27,10.5
11F,AAAS,6,159,11.25
12W,AAAS,8,133,10.9375
12S,AAAS,9,164,10.833333333333334
12X,AAAS,2,32,10.0
12F,AAAS,5,154,10.5
13W,AAAS,8,122,10.8125
13S,AAAS,10,164,11.194444444444445
13X,AAAS,2,29,11.0
13F,AAAS,4,54,11.0
14W,AAAS,9,175,10.9375
14S,AAAS,9,174,10.944444444444445
14X,AAAS,3,42,10.666666666666666
14F,AAAS,9,178,10.38888888888889
15W,AAAS,6,119,11.0
15S,AAAS,10,179,10.8
15X,AAAS,1,30,10.0
15F,AAAS,9,160,10.5
16W,AAAS,6,107,10.75
16S,AAAS,9,175,11.166666666666666
16X,AAAS,4,73,10.875
16F,AAAS,9,249,11.38888888888889
17W,AAAS,4,89,11.25
17S,AAAS,10,196,10.95
17X,AAAS,7,241,11.071428571428571
17F,AAAS,10,176,11.2
18W,AAAS,8,139,11.125
18S,AAAS,9,201,11.11111111111111
18X,AAAS,9,193,11.777777777777779
18F,AAAS,9,219,11.222222222222221
19W,AAAS,7,111,11.0
19S,AAAS,15,312,11.4
19X,AAAS,3,45,11.666666666666666
19F,AAAS,8,250,11.625
20W,AAAS,9,189,11.38888888888889
11W,AMEL,1,16,11.0
12W,AMEL,1,16,12.0
13S,AMEL,1,16,11.0
14W,AMEL,1,16,11.0
15W,AMEL,1,16,11.0
16F,AMEL,1,16,11.0
17W,AMEL,1,15,11.0
18W,AMEL,1,14,11.0
18S,AMEL,1,10,11.5
11W,AMES,10,274,11.55
11S,AMES,9,177,11.333333333333334
11F,AMES,3,55,11.0
12W,AMES,8,230,11.0
12S,AMES,9,255,11.38888888888889
12X,AMES,3,133,10.666666666666666
12F,AMES,1,28,11.0
13W,AMES,7,225,11.0
13S,AMES,7,126,11.428571428571429
13X,AMES,1,36,10.0
13F,AMES,4,112,11.166666666666666
14W,AMES,8,203,11.166666666666666
14S,AMES,10,288,11.2
14X,AMES,1,32,11.0
14F,AMES,4,88,11.25
15W,AMES,9,233,11.0
15S,AMES,13,309,11.153846153846153
15X,AMES,2,64,10.75
15F,AMES,7,161,11.285714285714286
16W,AMES,8,180,11.0625
16S,AMES,10,338,11.3
16X,AMES,3,133,10.666666666666666
16F,AMES,7,197,10.785714285714286
17W,AMES,10,277,11.1
17S,AMES,11,303,11.363636363636363
17X,AMES,2,73,11.5
17F,AMES,5,103,10.8
18W,AMES,12,281,10.863636363636363
18S,AMES,14,308,11.142857142857142
11W,ANTH,14,349,10.071428571428571
11S,ANTH,11,393,10.636363636363637
11X,ANTH,2,44,10.5
11F,ANTH,9,302,10.38888888888889
12W,ANTH,13,328,10.576923076923077
12S,ANTH,12,364,10.666666666666666
12X,ANTH,1,49,12.0
12F,ANTH,11,367,10.681818181818182
13W,ANTH,14,233,10.928571428571429
13S,ANTH,11,237,10.9
13X,ANTH,2,61,10.5
13F,ANTH,12,365,10.916666666666666
14W,ANTH,10,230,11.1
14S,ANTH,8,170,11.375
14X,ANTH,2,81,10.5
14F,ANTH,9,284,10.777777777777779
15W,ANTH,13,265,11.26923076923077
15S,ANTH,13,291,10.961538461538462
15X,ANTH,2,77,10.0
15F,ANTH,12,320,10.583333333333334
16W,ANTH,15,355,11.166666666666666
16S,ANTH,12,388,11.083333333333334
16X,ANTH,3,120,11.333333333333334
16F,ANTH,13,394,10.961538461538462
17W,ANTH,14,339,11.0
17S,ANTH,17,443,11.117647058823529
17X,ANTH,4,89,10.5
17F,ANTH,12,410,11.208333333333334
18W,ANTH,15,325,11.066666666666666
18S,ANTH,12,309,11.458333333333334
18X,ANTH,3,50,11.0
18F,ANTH,13,450,11.038461538461538
19W,ANTH,15,326,11.1
19S,ANTH,16,418,11.8125
19X,ANTH,2,38,12.0
19F,ANTH,11,323,11.75
20W,ANTH,14,328,11.321428571428571
11W,ARAB,4,83,11.166666666666666
11S,ARAB,4,46,11.666666666666666
11F,ARAB,4,61,12.0
12W,ARAB,6,114,11.6
12S,ARAB,4,55,12.0
12F,ARAB,3,40,12.0
13W,ARAB,5,69,11.75
13S,ARAB,3,47,12.0
13F,ARAB,3,41,11.5
14W,ARAB,4,58,11.75
14S,ARAB,4,74,11.5
14F,ARAB,4,51,11.25
15W,ARAB,4,90,11.666666666666666
15S,ARAB,2,31,11.5
15X,ARAB,3,50,11.666666666666666
15F,ARAB,4,55,12.0
16W,ARAB,2,21,12.0
16S,ARAB,3,82,11.5
16X,ARAB,3,37,11.0
16F,ARAB,4,55,11.833333333333334
17W,ARAB,1,17,12.0
17S,ARAB,3,58,11.5
17X,ARAB,3,39,11.666666666666666
17F,ARAB,4,56,11.75
18W,ARAB,5,80,11.5
18S,ARAB,3,48,11.333333333333334
18F,ARAB,2,31,12.0
19W,ARAB,2,31,12.0
19S,ARAB,2,30,12.0
19F,ARAB,2,35,12.0
20W,ARAB,3,42,12.0
11W,ARTH,6,140,10.583333333333334
11S,ARTH,10,186,10.8125
11X,ARTH,1,42,10.0
11F,ARTH,6,146,10.666666666666666
12W,ARTH,6,145,10.833333333333334
12S,ARTH,11,244,10.818181818181818
12X,ARTH,1,46,9.0
12F,ARTH,7,135,10.714285714285714
13W,ARTH,7,175,10.416666666666666
13S,ARTH,11,179,11.15
13X,ARTH,1,45,10.0
13F,ARTH,5,127,10.8
14W,ARTH,5,96,11.0
14S,ARTH,10,175,10.95
14X,ARTH,2,37,10.75
14F,ARTH,5,116,10.6
15W,ARTH,7,146,10.571428571428571
15S,ARTH,10,206,10.75
15X,ARTH,2,89,10.5
15F,ARTH,6,143,11.333333333333334
16W,ARTH,7,153,10.357142857142858
16S,ARTH,9,182,10.944444444444445
16X,ARTH,1,16,11.0
16F,ARTH,5,151,10.7
17W,ARTH,7,119,10.857142857142858
17S,ARTH,10,185,11.05
17X,ARTH,1,13,11.0
17F,ARTH,6,150,10.5
18W,ARTH,5,90,10.7
18S,ARTH,10,199,11.05
18X,ARTH,2,28,11.0
18F,ARTH,6,140,11.166666666666666
19W,ARTH,7,120,11.0
19S,ARTH,8,139,11.3125
19X,ARTH,2,39,10.75
19F,ARTH,6,132,11.25
20W,ARTH,5,90,10.8
18F,ASCL,4,122,11.5
19W,ASCL,7,117,11.428571428571429
19S,ASCL,8,222,11.5
19X,ASCL,5,97,11.2
19F,ASCL,7,209,11.083333333333334
20W,ASCL,14,275,11.346153846153847
11W,ASTR,1,10,10.5
11S,ASTR,2,112,10.25
11X,ASTR,3,250,10.666666666666666
11F,ASTR,2,118,10.0
12W,ASTR,1,10,10.5
12S,ASTR,1,41,11.0
12X,ASTR,4,272,11.25
12F,ASTR,2,82,10.0
13S,ASTR,2,60,10.5
13X,ASTR,3,222,11.333333333333334
13F,ASTR,2,86,10.0
14S,ASTR,2,80,10.0
14X,ASTR,3,187,11.333333333333334
14F,ASTR,2,54,9.5
15W,ASTR,2,26,12.0
15S,ASTR,1,62,10.0
15X,ASTR,3,223,11.0
15F,ASTR,2,51,10.5
16S,ASTR,2,105,10.75
16X,ASTR,3,261,11.0
16F,ASTR,2,84,10.5
17W,ASTR,2,26,11.5
17S,ASTR,2,163,10.0
17X,ASTR,3,282,11.0
17F,ASTR,2,83,10.5
18S,ASTR,2,135,10.75
18X,ASTR,2,238,12.0
