Year,Department,Number of Sections,Enrollments,Mean Points
2011,AAAS,24,507,10.791666666666666
2012,AAAS,24,483,10.729166666666666
2013,AAAS,24,369,11.01086956521739
2014,AAAS,30,569,10.741379310344827
2015,AAAS,26,488,10.711538461538462
2016,AAAS,28,604,11.107142857142858
2017,AAAS,31,702,11.096774193548388
2018,AAAS,35,752,11.314285714285715
2019,AAAS,33,718,11.393939393939394
2020,AAAS,9,189,11.38888888888889
2011,AMEL,1,16,11.0
2012,AMEL,1,16,12.0
2013,AMEL,1,16,11.0
2014,AMEL,1,16,11.0
2015,AMEL,1,16,11.0
2016,AMEL,1,16,11.0
2017,AMEL,1,15,11.0
2018,AMEL,2,24,11.25
2011,AMES,22,506,11.386363636363637
2012,AMES,21,646,11.119047619047619
2013,AMES,19,499,11.13888888888889
2014,AMES,23,611,11.19047619047619
2015,AMES,31,767,11.112903225806452
2016,AMES,28,848,11.035714285714286
2017,AMES,28,756,11.166666666666666
2018,AMES,26,589,11.02
2011,ANTH,36,1088,10.347222222222221
2012,ANTH,37,1108,10.675675675675675
2013,ANTH,39,896,10.894736842105264
2014,ANTH,29,765,11.03448275862069
2015,ANTH,40,953,10.9
2016,ANTH,43,1257,11.093023255813954
2017,ANTH,47,1281,11.053191489361701
2018,ANTH,43,1134,11.162790697674419
2019,ANTH,44,1105,11.55813953488372
2020,ANTH,14,328,11.321428571428571
2011,ARAB,12,190,11.5625
2012,ARAB,13,209,11.8
2013,ARAB,11,157,11.75
2014,ARAB,12,183,11.53125
2015,ARAB,13,226,11.75
2016,ARAB,12,195,11.5
2017,ARAB,11,170,11.694444444444445
2018,ARAB,10,159,11.5
2019,ARAB,6,96,12.0
2020,ARAB,3,42,12.0
2011,ARTH,23,514,10.666666666666666
2012,ARTH,25,570,10.72
2013,ARTH,24,526,10.818181818181818
2014,ARTH,22,424,10.863636363636363
2015,ARTH,25,584,10.82
2016,ARTH,22,502,10.704545454545455
2017,ARTH,24,467,10.854166666666666
2018,ARTH,23,457,11.0
2019,ARTH,23,430,11.152173913043478
2020,ARTH,5,90,10.8
2018,ASCL,4,122,11.5
2019,ASCL,27,645,11.326923076923077
2020,ASCL,14,275,11.346153846153847
2011,ASTR,8,490,10.375
2012,ASTR,8,405,10.666666666666666
2013,ASTR,7,368,10.714285714285714
2014,ASTR,7,321,10.428571428571429
2015,ASTR,8,362,11.0
2016,ASTR,7,450,10.785714285714286
2017,ASTR,9,554,10.777777777777779
2018,ASTR,6,476,11.083333333333334
2019,ASTR,8,477,11.125
2011,BIOL,49,1672,10.21111111111111
2012,BIOL,50,1860,10.193877551020408
2013,BIOL,49,1691,10.159574468085106
2014,BIOL,47,1518,10.366666666666667
2015,BIOL,43,1368,9.9625
2016,BIOL,47,1359,10.272727272727273
2017,BIOL,39,1234,10.128378378378379
2018,BIOL,45,1323,10.244047619047619
2019,BIOL,43,1294,10.073170731707316
2020,BIOL,16,397,10.1
2011,CHEM,20,1061,9.444444444444445
2012,CHEM,22,1031,9.675
2013,CHEM,23,1059,9.75
2014,CHEM,19,955,9.911764705882353
2015,CHEM,18,943,9.875
2016,CHEM,21,857,10.157894736842104
2017,CHEM,19,883,9.794117647058824
2018,CHEM,18,895,9.90625
2019,CHEM,19,818,9.985294117647058
2020,CHEM,5,276,10.0
2011,CHIN,23,386,11.666666666666666
2012,CHIN,25,436,11.50925925925926
2013,CHIN,23,368,11.403508771929824
2014,CHIN,16,228,11.431818181818182
2015,CHIN,20,301,11.68888888888889
2016,CHIN,24,413,11.338235294117647
2017,CHIN,14,264,11.533333333333335
2018,CHIN,14,275,11.50925925925926
2019,CHIN,14,187,11.408333333333335
2020,CHIN,5,59,11.416666666666666
2011,CLST,20,455,10.305555555555555
2012,CLST,13,410,10.461538461538462
2013,CLST,17,413,10.982142857142858
2014,CLST,16,618,10.566666666666666
2015,CLST,18,513,10.705882352941176
2016,CLST,17,600,10.911764705882353
2017,CLST,20,443,10.777777777777779
2018,CLST,15,535,10.833333333333334
2019,CLST,17,293,11.5
2020,CLST,4,82,11.0
2011,COCO,6,162,11.083333333333334
2012,COCO,4,64,10.5
2013,COCO,5,124,11.4
2014,COCO,8,199,10.75
2015,COCO,6,120,11.5
2016,COCO,6,91,11.0
2017,COCO,5,116,11.4
2018,COCO,4,93,11.0
2019,COCO,3,80,11.666666666666666
2020,COCO,2,33,10.5
2011,COGS,1,109,10.0
2012,COGS,3,217,11.0
2013,COGS,3,212,10.833333333333334
2014,COGS,2,73,10.0
2015,COGS,2,121,11.5
2016,COGS,3,90,10.333333333333334
2017,COGS,5,187,10.8
2018,COGS,6,160,10.5
2019,COGS,6,172,10.583333333333334
2020,COGS,1,28,11.0
2011,COLT,16,248,11.2
2012,COLT,17,251,11.5
2013,COLT,23,471,11.31578947368421
2014,COLT,17,342,11.46875
2015,COLT,15,364,11.3
2016,COLT,13,264,11.5
2017,COLT,19,531,11.394736842105264
2018,COLT,14,472,11.285714285714286
2019,COLT,19,753,11.578947368421053
2020,COLT,4,60,11.75
2011,COSC,29,727,10.931034482758621
2012,COSC,30,980,10.483333333333333
2013,COSC,39,1377,10.833333333333334
2014,COSC,57,1905,10.627358490566039
2015,COSC,58,2230,10.703703703703704
2016,COSC,63,2229,10.69672131147541
2017,COSC,43,1920,10.702380952380953
2018,COSC,51,2076,10.786458333333334
2019,COSC,57,2249,11.054545454545455
2020,COSC,20,726,11.277777777777779
2018,CRWT,4,58,12.0
2019,CRWT,19,242,11.583333333333334
2020,CRWT,7,92,11.625
2011,EARS,23,801,11.08695652173913
2012,EARS,17,837,10.823529411764707
2013,EARS,22,866,10.909090909090908
2014,EARS,20,902,10.975
2015,EARS,19,924,10.526315789473685
2016,EARS,21,802,10.857142857142858
2017,EARS,19,823,10.631578947368421
2018,EARS,22,761,10.931818181818182
2019,EARS,16,565,10.8
2020,EARS,8,180,11.142857142857142
2011,ECON,110,5198,9.918367346938776
2012,ECON,119,5538,10.17051282051282
2013,ECON,119,5494,10.257098765432099
2014,ECON,115,5342,10.215408805031446
2015,ECON,119,5379,10.127272727272727
2016,ECON,117,5267,10.076923076923077
2017,ECON,115,5017,10.150943396226415
2018,ECON,122,5132,10.38135593220339
2019,ECON,115,4887,10.44683908045977
2020,ECON,35,1593,10.455882352941176
2012,ECS,1,33,10.0
2013,ECS,1,16,11.5
2011,EDUC,12,303,10.166666666666666
2012,EDUC,13,322,10.038461538461538
2013,EDUC,11,242,10.181818181818182
2014,EDUC,11,229,10.454545454545455
2015,EDUC,14,337,10.5
2016,EDUC,13,360,10.26923076923077
2017,EDUC,14,378,10.214285714285714
2018,EDUC,12,338,10.166666666666666
2019,EDUC,11,271,10.045454545454545
2020,EDUC,2,41,10.5
2011,ENGL,69,1548,10.90625
2012,ENGL,69,1557,10.87283950617284
2013,ENGL,66,1454,10.994565217391306
2014,ENGL,63,1409,11.057692307692308
2015,ENGL,58,1202,10.831818181818182
2016,ENGL,57,1130,11.157894736842104
2017,ENGL,53,1176,11.169811320754716
2018,ENGL,71,1524,11.15
2019,ENGL,60,1714,11.366666666666667
2020,ENGL,13,215,11.346153846153847
2011,ENGS,62,1843,10.333333333333334
2012,ENGS,62,1953,10.7625
2013,ENGS,62,2035,10.59016393442623
2014,ENGS,65,2146,10.619047619047619
2015,ENGS,68,2281,10.46923076923077
2016,ENGS,69,2207,10.441176470588236
2017,ENGS,68,2117,10.619402985074627
2018,ENGS,74,2322,10.778571428571428
2019,ENGS,78,2357,10.93918918918919
2020,ENGS,26,691,10.864583333333334
2011,ENVS,25,704,10.666666666666666
2012,ENVS,26,760,10.96
2013,ENVS,29,851,10.732142857142858
2014,ENVS,32,825,10.75
2015,ENVS,26,657,10.634615384615385
2016,ENVS,28,691,10.857142857142858
2017,ENVS,33,865,10.651515151515152
2018,ENVS,31,817,10.903225806451612
2019,ENVS,31,885,10.96774193548387
2020,ENVS,8,221,11.1875
2011,FILM,28,559,10.778846153846153
2012,FILM,21,347,10.885964912280702
2013,FILM,28,564,11.041666666666666
2014,FILM,32,516,11.205555555555554
2015,FILM,29,500,10.879310344827585
2016,FILM,29,522,11.03448275862069
2017,FILM,25,500,11.0
2018,FILM,37,781,11.35135135135135
2019,FILM,34,804,11.25
2020,FILM,6,104,11.333333333333334
2011,FREN,53,757,11.178921568627452
2012,FREN,53,795,11.20045045045045
2013,FREN,53,737,11.243055555555555
2014,FREN,46,640,11.198924731182796
2015,FREN,50,664,11.344696969696969
2016,FREN,45,618,11.44489247311828
2017,FREN,40,558,11.0
2018,FREN,39,502,11.282051282051281
2019,FREN,37,488,11.574074074074074
2020,FREN,5,65,11.5
2011,FRIT,1,35,11.0
2013,FRIT,2,28,11.5
2014,FRIT,2,53,11.5
2016,FRIT,3,52,11.666666666666666
2017,FRIT,1,18,12.0
2018,FRIT,1,12,12.0
2019,FRIT,2,35,12.0
2020,FRIT,1,11,12.0
2011,GENE,1,11,11.0
2012,GENE,1,15,11.0
2011,GEOG,32,996,10.669354838709678
2012,GEOG,34,1004,10.803030303030303
2013,GEOG,38,952,11.069444444444445
2014,GEOG,37,973,10.942857142857143
2015,GEOG,36,898,10.82857142857143
2016,GEOG,44,1119,10.896825396825397
2017,GEOG,49,1225,10.99645390070922
2018,GEOG,41,1011,11.1
2019,GEOG,47,1086,11.085106382978724
2020,GEOG,11,263,11.090909090909092
2011,GERM,13,279,10.73076923076923
2012,GERM,10,210,11.055555555555555
2013,GERM,13,228,10.916666666666666
2014,GERM,16,242,10.880952380952381
2015,GERM,16,273,11.012820512820513
2016,GERM,18,275,11.13095238095238
2017,GERM,14,179,11.5
2018,GERM,12,161,11.708333333333334
2019,GERM,10,170,11.666666666666666
2020,GERM,3,40,12.0
2011,GOVT,83,2375,10.42989417989418
2012,GOVT,88,2464,10.530303030303031
2013,GOVT,85,2502,10.547222222222222
2014,GOVT,87,2375,10.392857142857142
2015,GOVT,92,2479,10.442460317460316
2016,GOVT,107,2869,10.51700680272109
2017,GOVT,95,2402,10.565261044176708
2018,GOVT,114,2651,10.631067961165048
2019,GOVT,112,2918,10.6225
2020,GOVT,28,652,10.583333333333334
2013,GRK,3,36,12.0
2014,GRK,4,52,11.75
2012,HEBR,1,17,11.0
2016,HEBR,1,13,12.0
2017,HEBR,2,43,11.0
2018,HEBR,1,22,11.0
2019,HEBR,1,10,12.0
2020,HEBR,1,10,11.5
2011,HIST,75,1777,10.6521164021164
2012,HIST,71,1662,10.654166666666667
2013,HIST,67,1606,10.579475308641975
2014,HIST,83,1762,10.632882882882884
2015,HIST,79,1775,10.52
2016,HIST,74,1700,10.695205479452055
2017,HIST,70,1651,10.639705882352942
2018,HIST,61,1486,10.9
2019,HIST,79,1741,10.987012987012987
2020,HIST,20,342,11.125
2011,HUM,6,78,10.916666666666668
2012,HUM,6,83,10.75
2013,HUM,6,79,10.916666666666668
2014,HUM,4,60,11.0
2015,HUM,5,73,11.25
2016,HUM,6,86,11.6875
2017,HUM,8,122,11.05
2018,HUM,9,143,11.208333333333332
2019,HUM,13,303,11.233333333333333
2020,HUM,3,37,11.333333333333336
2011,INTS,7,196,10.833333333333334
2012,INTS,8,238,10.9375
2013,INTS,7,208,10.833333333333334
2014,INTS,8,266,10.875
2015,INTS,8,254,10.5
2016,INTS,9,252,10.777777777777779
2017,INTS,9,271,10.88888888888889
2018,INTS,7,212,11.0
2019,INTS,10,234,11.3
2020,INTS,2,59,11.0
2011,ITAL,20,264,11.125
2012,ITAL,22,303,11.161458333333334
2013,ITAL,16,217,11.089285714285714
2014,ITAL,13,172,11.3
2015,ITAL,16,190,11.375
2016,ITAL,14,188,11.442307692307692
2017,ITAL,10,120,11.3
2018,ITAL,10,140,11.63888888888889
2019,ITAL,14,186,11.392857142857142
2020,ITAL,1,10,11.5
2011,JAPN,8,134,11.5
2012,JAPN,4,102,10.75
2013,JAPN,3,50,11.833333333333334
2014,JAPN,3,83,10.75
2015,JAPN,12,215,11.5
2016,JAPN,7,132,11.75
2017,JAPN,12,237,11.777777777777779
2018,JAPN,12,206,11.0
2019,JAPN,2,23,11.5
2020,JAPN,1,12,12.0
2011,JWST,9,347,11.166666666666666
2012,JWST,6,142,11.0
2013,JWST,8,206,11.375
2014,JWST,12,297,10.708333333333334
2015,JWST,7,217,10.571428571428571
2016,JWST,11,414,11.227272727272727
2017,JWST,12,536,10.95
2018,JWST,15,477,11.214285714285714
2019,JWST,17,707,11.40625
2020,JWST,2,31,11.5
2011,KORN,2,34,12.0
2011,LACS,9,159,10.61111111111111
2012,LACS,9,157,11.0
2013,LACS,12,207,10.916666666666666
2014,LACS,12,213,10.916666666666666
2015,LACS,14,345,10.785714285714286
2016,LACS,10,199,11.05
2017,LACS,16,372,10.933333333333334
2018,LACS,13,241,11.384615384615385
2019,LACS,18,431,11.11111111111111
2020,LACS,3,53,11.0
2011,LAT,8,127,9.933333333333334
2012,LAT,10,133,10.54761904761905
2013,LAT,10,142,11.222222222222221
2014,LAT,11,143,11.333333333333332
2015,LAT,10,147,11.194444444444443
2016,LAT,9,136,11.25
2017,LAT,12,182,11.263888888888891
2018,LAT,11,155,10.508333333333333
2019,LAT,15,239,11.892857142857142
2020,LAT,8,133,11.611111111111112
2011,LATS,5,95,11.2
2012,LATS,6,114,10.666666666666666
2013,LATS,4,66,11.0
2014,LATS,5,113,10.9
2015,LATS,4,85,11.25
2016,LATS,4,84,11.0
2017,LATS,7,119,11.142857142857142
2018,LATS,8,160,11.5
2019,LATS,9,247,11.666666666666666
2020,LATS,2,39,11.0
2011,LING,13,395,11.076923076923077
2012,LING,14,410,11.035714285714286
2013,LING,16,400,11.03125
2014,LING,13,409,10.807692307692308
2015,LING,14,373,10.75
2016,LING,14,409,10.535714285714286
2017,LING,15,358,10.76923076923077
2018,LING,17,499,10.875
2019,LING,15,436,10.884615384615385
2020,LING,3,103,10.5
2011,M&SS,4,62,11.125
2012,M&SS,3,43,11.5
2013,M&SS,4,53,11.5
2014,M&SS,3,49,11.333333333333334
2015,M&SS,3,62,10.0
2012,MALS,1,11,11.0
2015,MALS,1,12,12.0
2020,MALS,1,10,12.0
2011,MATH,63,3283,10.083333333333334
2012,MATH,65,3678,10.597826086956522
2013,MATH,59,3545,10.575
2014,MATH,67,4106,10.261363636363637
2015,MATH,70,4234,10.066666666666666
2016,MATH,77,4682,10.180851063829786
2017,MATH,70,4689,10.402439024390244
2018,MATH,76,4520,10.532608695652174
2019,MATH,74,4873,10.744186046511627
2020,MATH,20,1055,10.125
2018,MES,4,91,10.625
2019,MES,22,884,11.095238095238095
2020,MES,8,394,11.714285714285714
2011,MUS,27,644,11.481481481481481
2012,MUS,22,515,11.590909090909092
2013,MUS,23,489,11.26086956521739
2014,MUS,24,540,11.395833333333334
2015,MUS,19,394,11.605263157894736
2016,MUS,26,558,11.711538461538462
2017,MUS,34,689,11.676470588235293
2018,MUS,34,748,11.838235294117647
2019,MUS,33,881,11.818181818181818
2020,MUS,10,296,11.8
2011,NAS,18,581,10.676470588235293
2012,NAS,23,781,10.659090909090908
2013,NAS,24,728,10.833333333333334
2014,NAS,20,552,11.025
2015,NAS,13,330,11.115384615384615
2016,NAS,20,671,10.875
2017,NAS,17,493,10.823529411764707
2018,NAS,23,742,11.23913043478261
2019,NAS,25,680,11.14
2020,NAS,4,84,11.5
2011,PBPL,16,422,10.642857142857142
2012,PBPL,13,371,10.346153846153847
2013,PBPL,16,381,10.833333333333334
2014,PBPL,14,363,10.785714285714286
2015,PBPL,12,307,10.75
2016,PBPL,10,346,10.5
2017,PBPL,8,304,10.25
2018,PBPL,18,422,10.764705882352942
2019,PBPL,14,392,10.892857142857142
2020,PBPL,8,236,10.833333333333334
2011,PHIL,25,627,10.395833333333334
2012,PHIL,26,664,10.677083333333334
2013,PHIL,26,622,10.722222222222223
2014,PHIL,26,641,10.653846153846153
2015,PHIL,32,652,10.65625
2016,PHIL,29,651,10.74074074074074
2017,PHIL,31,807,11.209677419354838
2018,PHIL,33,779,10.984375
2019,PHIL,40,903,11.0875
2020,PHIL,10,213,11.15
2011,PHYS,25,933,10.5
2012,PHYS,23,1131,10.5
2013,PHYS,26,1290,10.673913043478262
2014,PHYS,27,1244,10.916666666666666
2015,PHYS,26,1190,10.782608695652174
2016,PHYS,29,1200,10.673076923076923
2017,PHYS,25,1187,10.409090909090908
2018,PHYS,23,1187,10.825
2019,PHYS,26,1135,10.76086956521739
2020,PHYS,11,394,10.9
2011,PORT,8,124,11.0
2012,PORT,5,68,11.5
2013,PORT,5,80,11.6
2014,PORT,5,53,11.2
2015,PORT,1,10,12.0
2016,PORT,1,14,12.0
2018,PORT,3,46,11.0
2019,PORT,1,25,12.0
2020,PORT,1,14,12.0
2011,PSYC,51,2286,10.550724637681158
2012,PSYC,50,2382,10.418478260869565
2013,PSYC,49,2312,10.44186046511628
2014,PSYC,55,2128,10.532679738562093
2015,PSYC,55,2005,10.641509433962264
2016,PSYC,54,1902,10.601851851851851
2017,PSYC,53,2009,10.716981132075471
2018,PSYC,54,2037,10.87037037037037
2019,PSYC,48,1929,10.84375
2020,PSYC,15,490,10.866666666666667
2013,QBS,1,14,11.5
2014,QBS,1,10,10.0
2015,QBS,1,32,11.0
2015,QSS,5,93,10.1
2016,QSS,10,261,10.777777777777779
2017,QSS,9,191,10.84375
2018,QSS,14,323,10.416666666666666
2019,QSS,14,358,10.708333333333334
2020,QSS,4,129,11.166666666666666
2011,REL,30,876,10.758620689655173
2012,REL,22,615,10.681818181818182
2013,REL,25,713,10.84
2014,REL,28,993,10.875
2015,REL,30,781,10.583333333333334
2016,REL,29,785,10.827586206896552
2017,REL,35,849,11.071428571428571
2018,REL,34,878,10.985294117647058
2019,REL,38,874,11.31578947368421
2020,REL,11,276,11.454545454545455
2011,RUSS,9,243,11.055555555555555
2012,RUSS,12,426,11.375
2013,RUSS,10,210,11.05
2014,RUSS,15,338,11.333333333333334
2015,RUSS,11,283,11.318181818181818
2016,RUSS,10,304,11.7
2017,RUSS,13,310,11.615384615384615
2018,RUSS,14,317,11.642857142857142
2019,RUSS,12,259,11.659090909090908
2020,RUSS,5,92,11.6
2011,SART,40,531,11.360119047619047
2012,SART,31,403,11.253787878787877
2013,SART,25,332,11.435185185185183
2014,SART,22,279,11.476190476190476
2015,SART,26,329,11.631578947368421
2016,SART,28,357,11.6375
2017,SART,35,441,11.61111111111111
2018,SART,34,437,11.6358024691358
2019,SART,33,399,11.663690476190478
2020,SART,9,105,12.0
2011,SOCY,30,781,10.535714285714286
2012,SOCY,30,844,10.583333333333334
2013,SOCY,30,963,10.620689655172415
2014,SOCY,42,1204,10.707317073170731
2015,SOCY,33,973,10.484848484848484
2016,SOCY,37,1023,10.27027027027027
2017,SOCY,35,928,10.557142857142857
2018,SOCY,40,1024,10.64102564102564
2019,SOCY,32,708,10.741666666666667
2020,SOCY,13,278,11.115384615384615
2011,SPAN,78,1398,11.051744186046513
2012,SPAN,74,1266,11.169918699186992
2013,SPAN,80,1420,11.257456140350877
2014,SPAN,73,1669,11.217731829573935
2015,SPAN,94,2497,11.191899585921325
2016,SPAN,95,4235,11.260912698412698
2017,SPAN,95,4411,11.255555555555556
2018,SPAN,89,4299,11.406976744186046
2019,SPAN,95,4306,11.497670807453416
2020,SPAN,29,1113,11.726190476190476
2011,SPEE,4,52,10.916666666666666
2012,SPEE,8,107,11.541666666666666
2013,SPEE,8,112,11.107142857142858
2014,SPEE,9,118,11.375
