TERM,COURSE,ENRL,MEDIAN
11W,AAAS-011-01,13,B+
11W,AAAS-014-01,15,A-
11W,AAAS-016-01,16,A-/B+
11W,AAAS-024-01,12,B+
11W,AAAS-025-01,36,B+
11W,AAAS-046-01,25,B+
11W,AAAS-054-01,10,A
11W,AAAS-080-01,11,A-
11W,AMEL-007-01,16,A-
11W,AMES-004-01,47,A-
11W,AMES-009-01,42,B+
11W,AMES-012-01,49,A
11W,AMES-025-01,16,A
11W,AMES-027-90,14,A
11W,AMES-028-90,14,A
11W,AMES-029-90,14,A
11W,AMES-030-01,36,A/A-
11W,AMES-040-01,29,A-
11W,AMES-045-01,13,A
11W,ANTH-003-01,62,B+
11W,ANTH-006-01,55,B
11W,ANTH-007-01,16,B+
11W,ANTH-017-01,31,B+
11W,ANTH-021-01,33,B
11W,ANTH-033-01,11,A-
11W,ANTH-043-01,12,B+
11W,ANTH-044-01,24,A-
11W,ANTH-048-01,10,A-
11W,ANTH-049-01,20,B
11W,ANTH-051-90,20,B+
11W,ANTH-052-90,15,B+
11W,ANTH-054-90,15,B+
11W,ANTH-073-01,25,A-
11W,ARAB-002-01,13,A
11W,ARAB-002-02,12,A-
11W,ARAB-010-01,47,A-
11W,ARAB-022-01,11,A-
11W,ARTH-002-01,57,B+
11W,ARTH-016-02,26,B+
11W,ARTH-020-01,19,A-
11W,ARTH-021-01,10,A-/B+
11W,ARTH-063-01,15,B+
11W,ARTH-067-01,13,A
11W,ASTR-025-01,10,A-/B+
11W,BIOL-011-01,61,B
11W,BIOL-013-01,116,B
11W,BIOL-014-01,43,B+
11W,BIOL-015-01,24,B+/B
11W,BIOL-027-01,11,A
11W,BIOL-029-01,20,B+
11W,BIOL-045-01,34,B+
11W,BIOL-047-01,10,B+
11W,BIOL-055-90,15,A-
11W,BIOL-056-90,15,A-
11W,BIOL-057-90,15,A-
11W,BIOL-066-01,24,B+
11W,BIOL-078-01,32,A-
11W,BIOL-095-01,11,A
11W,BIOL-097-01,13,A
11W,BIOL-128-01,20,B+
11W,BIOL-166-01,24,B+
11W,CHEM-005-01,96,B
11W,CHEM-005-02,121,B
11W,CHEM-052-01,70,B
11W,CHEM-058-01,24,A-/B+
11W,CHEM-064-01,32,B+
11W,CHEM-075-01,27,B+
11W,CHIN-002-01,13,A-
11W,CHIN-002-02,13,A
11W,CHIN-002-03,13,A-
11W,CHIN-010-01,49,A
11W,CHIN-022-02,14,A-
11W,CHIN-032-01,12,A
11W,CHIN-062-01,12,A-
